text,label_manual
"Kades se-Indonesia Deklarasi Jokowi Tiga Periode, Pangi Syarwi Chinago: Kasihan, Mereka Korban Syahwat Politik Jahat https://t.co/KEcjHAXDNB #JokowiTigaPeriode #KadesSe-Indonesia #KorbanSyahwatPolitik #PangiSyarwiChinago",negative
Kelompok Tani Arih Ersada Aron Bolon di Deli Serdang berharap Jokowi kembali maju menjadi calon presiden tiga periode. #Jokowitigaperiode https://t.co/GJj8HzZgbc,positive
Masyarakat Toba yang mengatasnamakan KOBAR memberikan dukungan kepada Presiden Jokowi untuk kembali maju menjadi capres di tahun 2024. #Jokowitigaperiode https://t.co/9qhgF8uQ3N,positive
Deklarasi KOBAR Provinsi Sulut mengampanyekan Jokowi tiga periode pada tahun 2024. #Jokowitigaperiode https://t.co/TcE74Klm5O,positive
@UkonUkon_ Curiga data dia gegara tagar jokowitigaperiode ga sii :),neutral
Luhut: Jabatan Jokowi Ditambah Tiga Tahun Mungkin Sekali Indonesia Jadi Lebih Baik https://t.co/HVJk4yzrTY #headline #Jokowi #JokowiTigaPeriode #Luhut,positive
"Ogah Dukung Jokowi Tiga Periode, Ernest Prakasa Babak Belur Diserang Buzzer https://t.co/mTkZjFAsOF #Ernest #ErnestPrakasa #JokowiTigaPeriode",negative
"Bukan Penundaan, @jokowi Minta Pemilu 2024 Tak Boros Anggaran Negara

https://t.co/hQGsmqpc8E

#pemiluditunda #jokowitigaperiode #infoindonesia",neutral
Mantab! #JokowiTigaPeriode,positive
"Terkesan Abai dengan Tuntutan Mahasiswa dan Elemen Masyarakat, PKB Ngotot Lanjutkan Wacana Penundaan Pemilu 2024 https://t.co/WiCQiQ3bjn #ElemenMasyarakat #headline #mahasiswa #PenundaanPemilu2024",positive
"Gelombang Aksi Mahasiswa Silih Berganti, BEM Unud Kutuk Wacana Penundaan Pemilu 2024 dan Presiden Tiga Periode https://t.co/6gG28xm10h #AksiMahasiswa #BEMUnud #Berganti #PenundaanPemilu2024",negative
"BEM UI Begerak 21 April, Bawa Lima Tuntutan Mulai Isu Penundaan Pemilu 2024 hingga Kenaikan Harga https://t.co/HYIE1sE9Hx #BEMUI #PenundaanPemilu2024 #UI #UniversitasIndonesia",negative
"#Maguire
#Maguire

Presiden Jokowi Sudah Menolak, Puan Minta Polemik Penundaan Pemilu 2024 Dihentikan!  https://t.co/1FR6s5LC78 #PenundaanPemilu2024 #LuhutBinsarPandjaitan #Jokowi #Masinton #Puan #KPU #Bawaslu",neutral
"Cak Imin jelaskan alasan dirinya usul penundaan pemilu 2024, ketua umum Partai PKB itu sebut alasannya ialah demi tolong Kiyai Maruf Amin di akhirat. https://t.co/s1vNTSENLe #News #cakimin #penundaanpemilu2024",positive
"Parpol di MPR sepakat tolak amandemen UUD 1945, HNW: agar tak ditunggangi kelompok ‘penundaan pemilu’

https://t.co/ViP4GyMj3f

#bpmpr #mprri #dpdri #partaipolitik #pemilu2024 #uud1945 #uudnri1945 #penundaanpemilu2024 #Lensaindonesiacom",neutral
"Luqman Hakim Wakil Ketua Komisi II dirotasi oleh partainya Fraksi Partai Kebangkitan Bangsa (F-PKB) ke anggota komisi IX akibat lantang menolak Penundaan Pemilu 2024.
Selengkapnya!
#DPRRI
#PKB
#Penundaanpemilu2024

https://t.co/c4URIaVelY",neutral
"“STOP SPEKULASI”
Tidak Ada Penundaan Pemilu, Perpanjangan Masa Jabatan atau Penambahan 3 Periode

#pemilu2024
#penundaanpemilu2024
#tigaperiode
#pilpres2024
#kalsel
#kalimantanselatan
#habarbanua
#hellokalsel
#hallokalsel
#liputankalsel https://t.co/b83xzmmr0J",negative
"Penundaan Pemilu ini merupakan langkah awal yang menyalahi konsep demokrasi bangsa Indonesia. Selain itu wacana penundaan Pemilu dan tiga periode merupakan tindakan yang menentang konstitusi.

#POLARIS
#POJOKPOLITIK
#PenundaanPemilu2024
#Tolak3Periode

[3/4] https://t.co/p4Wrzo9ZxO",negative
Bupati Banyumas Achmad Husein bersama mahasiswa menolak penundaan pemilu dan perpanjangan masa jabatan presiden.  #penundaanpemilu2024 https://t.co/baOZCgucXs,negative
Presiden Jokowi melarang menteri-menterinya untuk berbicara soal penundaan Pemilu 2024 dan perpanjangan masa jabatan presiden.  #PenundaanPemilu2024 https://t.co/2T6519U378,negative
Pembahasan soal peraturan KPU hingga kini belum dilakukan bersama Pemerintah dan DPR. Surat KPU belum ada kelanjutan. Penundaan Pemilu 2024 kian nyata?  #penundaanpemilu2024 https://t.co/egwsP9SUAr,neutral
Kemendagri Pastikan Pemilu 2024 Dilaksanakan https://t.co/FxRhcpHNCm #Kemendagri #KPU #Pemilu2024 #PenundaanPemilu2024 https://t.co/DareGYqqQz,neutral
"Jangan sampai ada lagi yang menyarakan lagi mengenai urusan penundaan, urusan perpanjangan NGAAK
#penundaanpemilu2024 #jokowi3periode #jokowi https://t.co/FhJv91wcTZ",negative
"Stop Politisasi Wacana Penundaan Pemilu 2024
#penundaanpemilu2024 #jokowi3periode #jokowi https://t.co/JA8pbRXiAz",neutral
Foreder mengapresiasi langkah Presiden Jokowi menterinya setop membahas penundaan atau masa jabatan 3 periode. #PenundaanPemilu2024 https://t.co/XUzmlp1yp9,neutral
"Clear! Presiden @jokowi minta para menteri fokus dlm penanganan kesulitan yg sedang dihadapi, ia larang menteri bicara penundaan pemilu 2024. #IndonesiaMaju #penundaanpemilu2024 https://t.co/fbPKd90bhm",neutral
Clear! Presiden @jokowi larang menteri bicara penundaan pemilu 2024. #IndonesiaMaju #penundaanpemilu2024 https://t.co/WICdPcI6oq,neutral
Clear! Presiden @jokowi ajak jajarannya fokus bekerja. Beliau larang menteri bicara penundaan pemilu 2024. #IndonesiaMaju #penundaanpemilu2024 https://t.co/WztjkRaUhb,neutral
"Sahabat Ganjar Pranowo Tolak Perpanjangan Jabatan Presiden
#SahabatGanjar #penundaanpemilu2024 #3periode 
https://t.co/0aOry8NDIK",negative
Survei SMRC Dapati Kepuasan Publik Pada Pemerintahan Jokowi Anjlok https://t.co/8lMEAQSHlE #KepuasanPublik #PemerintahanJokowi #PenundaanPemilu2024 https://t.co/QqwB34mjdS,neutral
"78,9 Persen Masyarakat Indonesia Menolak Wacana Penundaan Pemilu 2024 https://t.co/rMxGtNbFOk #PenundaanPemilu2024 #Presiden3Periode #SurveiSMRC",neutral
Dalang yang menggaungkan penundaan pemilu atau memperpanjang masa jabatan Presiden Jokowi harus diadili. #PenundaanPemilu2024 https://t.co/DICt1kZKjr,negative
Bahlil Lahadalia Klaim Wacana Penundaan Pemilu 2024 akan Memberikan Dampak Positif terhadap Investasi https://t.co/TI9GCTkbo9 #BahlilLahadalia #investasi #Pemilu2024 #PenundaanPemilu2024,positive
"PESAN UNTUK RAKYAT! Anifah Suryani: Boikot Partai yang Mendukung Penundaan Pemilu 2024, Bangga Pertontonkan Sifat Rakus: Content Creator Anifah Suryani pedas mengeluarkan pernyataannya soal wacana penundaan… https://t.co/OvtNSwu6gm #News #anifahsuryani #penundaanpemilu2024",negative
PDIP meminta semua pihak untuk berhenti membahas wacana penundaan Pemilu 2024 karena dianggap tidak produktif. #PenundaanPemilu2024 https://t.co/qS7fWSwbyZ,neutral
"Mahasiswa Melawan! Aksi Penolakan Penundaan Penilu 2024 Makin Keras Disuarakan, Warganet: Jika Tidak Didengar, Kekuatan Lebih Besar Akan Datang!: Wacana penundaan Pemilu 2024 semakin menuai protes dari berbagai… https://t.co/hUUp5pgeJY #Politik #penundaanpemilu2024 #bemsi",negative
Sekjen PDIP Hasto Kristiyanto mengatakan Megawati dan Jokowi berlangsung intens dalam menentukan sikap terkait penundaan pemilu 2024 #PenundaanPemilu2024 https://t.co/KYbkAwUJNE,neutral
Ada manuver penundaan Pemilu 2024 dan juga Gerakan Jokowi 3 Periode yang memasangkan Prabowo Subianto sebagai wakil presiden. #penundaanpemilu2024 https://t.co/rjDsFpzVb4,negative
Wapres Ma'ruf Amin menjawab soal isu penundaan Pemilu 2024. Begini jawabannya. #penundaanpemilu2024 https://t.co/lL4HyJJntU,neutral
"Ma’ruf Amin Tekankan Fokus Jalankan Tugas Hingga 2024 Sesuai Mandat
#penundaanPemilu2024 #indrajatim
https://t.co/XlHLgdwp0t",neutral
Ketua KPU Ilham Saputra tegaskan tidak ada lagi pertanyaan penundaan pemilu 2024 #PenundaanPemilu2024 https://t.co/9shoG5Zg5n,neutral
Menko Polhukam Mahfud MD membatalkan pertemuan dengan KPU dan Bawaslu untuk membahas Penundaan Pemilu 2024.  #penundaanpemilu2024 https://t.co/GfBF18q0mj,neutral
"Ratusan mahasiswa turun ke jalan menggelar demonstrasi menolak penundaan pemilu 2024 di Mamuju, Sulawesi Barat.  #penundaanpemilu2024 https://t.co/Qb8Wav0CD0",negative
Ketua Dewan Pembina LGP Mochtar Mohamad menilai isu perpanjangan jabatan presiden atau pun penundaan pemilu melanggar konstitusi UUD 1945. #PenundaanPemilu2024 https://t.co/V4fddCE95Q,negative
Kader PDIP diingatkan agar tidak terkecoh dengan manuver Luhut Pandjaitan yang mewacanakan penundaan Pemilu 2024.  #penundaanpemilu2024 https://t.co/Pjkt1xotZ0,neutral
Presiden Joko Widodo sengaja ingin dijebak di balik wacana penundaan pemilu 2024 dan masa perpanjangan jabatan. #penundaanpemilu2024 https://t.co/q6HjIYzrP7,neutral
"Kritik Menteri-Menteri Bermasalah, Tagar Mundur Trending, Anthony Budiawan: Bicara Tanpa Fakta, Luhut, Pejabat yang Tidak Patut Dipercaya! https://t.co/e9egbUSyPT #Politik #pdip #penundaanpemilu2024",neutral
Pengamat Politik Pangi Syarwi Chaniago menantang Menko Marves Luhut Binsar Pandjaitan membuka data soal rakyat yang menginginkan penundaan Pemilu 2024 #PenundaanPemilu2024 https://t.co/swAAvGRioQ,neutral
"5 Tokoh di Balik Isu Penundaan Pemilu 2024
#Pemilu2024 #PenundaanPemilu2024 https://t.co/WLf2KgMv60",neutral
"Wacana penundaan Pemilu yang dihembuskan sejumlah elite politik turut memantik reaksi kalangan masyarakat bawah, salah satunya pelaku UMKM. #PenundaanPemilu2024 https://t.co/I63Qz32QXg",neutral
Politikus PDI Perjuangan (PDIP) Masinton Pasaribu menyinggung nama mantan Ketua MPR Harmoko ketika berbicara isu penundaan Pemilu 2024 #PenundaanPemilu2024 https://t.co/GClqv27z1H,neutral
Ketum Partai Demokrat Agus Harimurti Yudhoyono (AHY) menyebut penundaan pemilu merupakan pemufakatan jahat untuk melanggengkan kekuasaan #PenundaanPemilu2024 https://t.co/MmPBPoJAEg,negative
"Usulan #PenundaanPemilu2024 disebut perlu dikaji.

Baca selengkapnya 👇

https://t.co/tgjCyFV3XW",neutral
"Politikus #PDIP Masinton Pasaribu menegaskan #PenundaanPemilu2024 menghina akal sehat 

Baca selengkapnya 👇
https://t.co/U7eKQjv3c9",negative
"(thread)
Jika Keluarkan Perppu Penundaan Pemilu, Jokowi Lecehkan Konstitusi
#Pemilu2024 #PenundaanPemilu2024 

https://t.co/ZGliAIaqZr",negative
"Wacana penundaan Pemilu 2024 terus bergulir. Bak bola salju yang menggelinding, gaungnya semakin besar. #penundaanpemilu2024 https://t.co/nYAscDwkCt",neutral
"Menurut survei yang dilakukan LSJ, 71,2% responden tolak usulan #PenundaanPemilu2024

Baca selengkapnya 👇

https://t.co/8kUvYSgILF",negative
Wakil Ketua MPR RI Hidayat Nur Wahid. menegaskan bahwa penundaan Pemilu 2024 sangat bertentangan dengan konstitusi yang berlaku di Indonesia. #PenundaanPemilu2024 https://t.co/0p0TKLkhDq,negative
"Pengamat Politik Ujang Komarudin merespons pernyataan Luhut Binsar Pandjaitan bahwa rakyat tidak tertarik dengan Pemilu 2024, apa kaitannya dengan Jokowi? #PenundaanPemilu2024 https://t.co/Nxdg1QIjVC",neutral
"Signyal kenaikan BBM ‘ditiup’ Jokowi di tengah isu penundaan pemilu

https://t.co/Q9Xwj8uXY8

#bbm #kenaikanbbm #presidenjokowi #pemilu2024 #penundaanpemilu2024 #pandemicovid19 #perangrusiaukraina #Lensaindonesiacom",neutral
Aktivis Perudem menyebut sebuah kemunduran demokrasi jika usulan penundaan Pemilu 2024 jadi terlaksana. #penundaanpemilu2024 https://t.co/nS93C0pBNd,negative
Ketua Umum Repdem Wanto Sugito memberi peringatan kepada pihak-pihak yang menginginkan atau mengusulkan penundaan Pemilu 2024. Aktivis 1998 itu menilai menunda #PenundaanPemilu2024 https://t.co/EwhEzxoZIm,negative
"Survei: Mayoritas pemilih #Jokowi di 2019 menolak usulan #PenundaanPemilu2024 dan ide presiden tiga periode. 

Baca selengkapnya 👇
https://t.co/4k2N9lPNXM",negative
"Gencar Wacana Penundaan Pemilu, Zulfikar Arse Dorong Refleksi Menyeluruh https://t.co/fpufXqJeNw #KomisiIIDPRRI #MillenialTalk #Pemilu2024 #PenundaanPemilu2024 https://t.co/U1WS3PnPwQ",neutral
"Soal Penundaan Pemilu, Pakar: Tidak Relevan Alasan Pandemi dan Pemulihan Ekonomi https://t.co/D8YqgmLpXv #AdamMuhshi #MillenialTalk #Pemilu2024 #PenundaanPemilu2024 https://t.co/KlJuf6ZWaJ",negative
Ray Rangkuti Ingatkan Dampak Negatif Penundaan Pemilu dan Perpanjangan Masa Jabatan Presiden https://t.co/LkYEXoSN7F #MillenialTalk #Pemilu2024 #PenundaanPemilu2024 https://t.co/LLncvWaTvx,negative
isu penundaan Pemilu 2024 hanya sebatas wacana politik #Penundaanpemilu2024 https://t.co/IwX0d8Kbve,negative
"Terkait Usulan Penundaan Pemilu 2024, Demokrat: Jokowi Harus Tolak, Meski Masyarakat Mau!: Wakil Ketua Umum Partai Demokrat, Benny Kabur Harman, mengatakan bahwa meskipun mayoritas masyarakat menginginkan penundaan… https://t.co/SJJA4anPfi #News #penundaanpemilu2024 #demokrat",negative
Anggota Bawaslu Rahmat Bagja menyebut isu penundaan Pemilu 2024 cuma wacana politik. Begini argumentasinya. #PenundaanPemilu2024 https://t.co/K1CEGBNnTh,neutral
"Partai #Demokrat minta Presiden #Jokowi tegas menolak #PenundaanPemilu2024 

Baca selengkapnya 👇 https://t.co/ZmQbjTg2g0",negative
"Meski dunia runtuh, penundaan pemilu 2024 dan perpanjang masa jabatan presiden tak dibenarkan. #Penundaanpemilu2024 https://t.co/HBrpNJ7fhD",negative
Ketua Umum DPP Partai Kebangkitan Bangsa Muhaimin Iskandar mengatakan wacana penundaan Pemilu 2024 bisa terlaksana apabila ketua umum partai politik menyetujui. #penundaanpemilu2024 https://t.co/zK71IharSF,neutral
"Terkait Usulan Penundaan Pemilu 2024, Faldo: Jokowi Tegas Akan Taati Konstitusi: Sikap Presiden Jokowi atas rencana penundaan Pemilu 2024 sudah tegas akan mentaati konstitusi yang berlaku. https://t.co/d6yGpiMysa #News #penundaanpemilu2024 #jokowi",neutral
"Elite politik diharapkan dapat menghentikan wacana #PenundaanPemilu2024.

Baca selengkapnya 👇 https://t.co/VnHVJyNwBX",negative
"Menurut Ketua Umum PAN Zulkifli Hasan, terdapat sejumlah alasan yang membuat pihaknya mendukung penundaan pemilu, mulai dari situasi pandemi, kondisi ekonomi yang belum stabil, hingga anggaran pemilu yang membengkak. | #PenundaanPemilu2024 

https://t.co/ErgrsVsoXt",positive
"""Tanpa amandemen, maka penundaan pemilu adalah pelanggaran nyata terhadap UUD 1945. Risiko pelanggaran terhadap UUD 1945 adalah masalah serius,"" ujar Yusril. | #PenundaanPemilu2024 

https://t.co/Nv3k86xNBL",negative
Partai Demokrat mendesak Presiden Joko Widodo bersikap tegas menyikapi wacana penundaan Pemilu 2024. #penundaanpemilu2024 https://t.co/L48CxA9krC,neutral
"Pemilu 2024 Resmi digelar 14 Februari 2022
#penundaanpemilu2024 #pemilu2024 #presidentigaperiode #jokowi https://t.co/P7gS2o35Py",neutral
"Wacana Penundaan Pemilu 2024 tidak berasal dari Parlemen
#penundaanpemilu2024 #pemilu2024 #presidentigaperiode #jokowi https://t.co/dBe5bX1E4L",neutral
"Presiden Jokowi Tolak Perpanjangan masa jabatan
#penundaanpemilu2024 #pemilu2024 #presidentigaperiode #jokowi https://t.co/VM6mDI2wv6",negative
"Isu Penundaan Pemilu 2024 bukan prioritas Pemerintah
#penundaanpemilu2024 #pemilu2024 #presidentigaperiode #jokowi https://t.co/yicSWynKel",negative
"Sikap Presiden Jokowi Tidak Berubah
#penundaanpemilu2024 #pemilu2024 #presidentigaperiode #jokowi https://t.co/oTWN19vQvs",negative
"Pemilu 2024 yang sudah ada di depan mata justru berpotensi ditunda. Ada banyak alasan untuk menjustifikasi. Kondisi ini tentu akan
berdampak buruk pada demokrasi, tapi mengapa isu ini terus digulirkan, dan bagaimana harus melihatnya? 

#diskusipublik #PenundaanPemilu2024 https://t.co/Y1S3MlS3Bp",negative
Ridwan Bae mengikut kepada keputusan Ketua Umum Golkar Airlangga Hartarto terkait penundaan pemilu 2024. #penundaanpemilu2024 https://t.co/0HqvFzcY6L,neutral
"""Toh pemerintah juga tidak sedang kesulitan anggaran. Buktinya proyeksi pembangunan IKN yang anggarannya lebih besar pun tetap jalan,"" papar Senator asal Jawa Timur itu. #LaNyalla #nusantara #ikn #PenundaanPemilu2024",negative
Demokrat berharap presiden berkomitmen menjaga konstitusi dengan menolak wacana penundaan Pemilu 2024 #Penundaanpemilu2024 https://t.co/5PSYqVNZwQ,negative
"Survei Indikator Politik Indonesia menyatakan mayoritas pendukung PKB, Golkar, dan PAN tolak usul penundaan pemilu 2024. Ini datanya. #PenundaanPemilu2024 https://t.co/07ot4YYGEn",negative
"Saya juga berikan apresiasi kepada PP Muhammadiyah melalui Sekretaris Umum Pak Abdul Mukti yang sudah menyatakan menolak wacana tersebut,""  LaNyalla
#demokrasipancasila #PenundaanPemilu2024 #lanyalla #spiritlanyalla

@muhammadiyah
 
@majalahSM
 
@RadioMuh
https://t.co/ofHJgenm4c",negative
Anggota Komite I DPD RI Abdul Kholik menyebut situasi pandemi Covid-19 tak bisa jadi alasan penundaan pemilu 2024. #PenundaanPemilu2024 https://t.co/clAvMRfY1Y,negative
Anggota Komite I DPD RI Abdul Kholik menyebut penundaan pemilu 2024 berbahaya bagi demokrasi dan sistem ketatanegaraan. #PenundaanPemilu2024 https://t.co/exmQwQslO4,negative
Penundaan Pemilu 2024 yang mencakup pemilihan legislatif dan pemilihan presiden mewacana yang ditetapkan Rabu 14 Februari 2024 akan menugundang keributan.  #penundaanpemilu2024 https://t.co/iYL7D2trgK,negative
"Terkait Wacana Penundaan Pemilu 2024, Presiden #Jokowi Diminta Segera Bersikap
https://t.co/WFkP8bktfO, Nasional – Belakangan ini, banyak pihak mendorong Presiden Joko Widodo (#Jokowi)   ...
.
Baca selengkapnya : https://t.co/vgnHt8QVSv
.
#Pemilu2024 #PenundaanPemilu2024 https://t.co/RiBz43g6dr",neutral
Hasto Kristiyanto menegaskan PDI Perjuangan senapas dengan apa yang disampaikan Presiden Jokowi. PDIP tegas menolak penundaan pemilu. #PenundaanPemilu2024 https://t.co/X6NstjPjgK,negative
Petisi Tolak Tunda Pemilu 2024: Pelanggaran Hukum Tertinggi RI https://t.co/uGFkwG1IVO #Pemilu #Pemilu2024 #PenundaanPemilu2024 #PetisiTolakPemilu https://t.co/Nx0I5G51NS,negative
"Saling bantah, saling tuding ! 

Segitiga istana - OPUNG - (ketum) Parpol 

#PenundaanPemilu2024",neutral
Penundaan Pemilu 2024 disebut mengancam proses demokrasi Indonesia dan berpotensi memunculkan kepemimpinan otoritarian #PenundaanPemilu2024 https://t.co/tCy3nqCcX6,negative
"Koalisi Masyarakat Sipil Kawal Pemilu 2024 mendesak partai politik menolak usulan #PenundaanPemilu2024 

Baca selengkapnya 👇

https://t.co/8tG6V9dwPc",negative
"Hidayat Nur Wahid Sebut Usulan Penundaan Pilpres 2024 Lemah, IPO: Terbukti! 61 Persen Responden Tidak Setuju: Usulan penundaan pilpres 2024 semakin mendapat kecaman tak hanya dari masyarakat namun berbagai… https://t.co/4850oco3Fi #Politik #pilpres2024 #penundaanpemilu2024",negative
"#BeritaTerpopuler
KPU Cilacap Tak Peduli Isu Penundaan Pemilu 2024, Partai Poltik Mulai Didata
#KPUCilacap
#penundaanpemilu2024
#parpol
https://t.co/pE2xwCAOUU",neutral
Pakar Hukum Tata Negara Unsoed amerespon keras wacana penundaan Pemilu 2024. Politikus diminta bersikap seperti negarawan.  #penundaanpemilu2024 https://t.co/aNZyQWLgzx,negative
"#BeritaTerupdate 
Zulkifli Hasan Minta Pemilu Ditunda, MPPW PAN Jabar: Pembangkangan terhadap UUD 1945
@ZUL_Hasan 
@Official_PAN 
#zulikiflihasan
#penundaanpemilu2024
#MPPWPANJabar
https://t.co/MwXhWB68Ut",negative
Ketua Harian DPP Gerindra Sufmi Dasco Ahmad menyatakan partainya enggan menanggapi usulan penundaan Pemilu 2024 #PenundaanPemilu2024 https://t.co/yyBM1zjgPo,neutral
"Politisi #PDIP meminta elite politik menutup wacana #PenundaanPemilu2024 yang tidak memiliki dasar hukum dan politik.

Baca selengkapnya 👇

https://t.co/ihDig4IaWk",negative
"Ketua DPD #LaNyalla angkat bicara terkait wacana #PenundaanPemilu2024, ia meminta pemerintah harus taat konstitusi.

Baca selengkapnya 👇

https://t.co/VfBiyZ5LiO",negative
"Ketua Umum #PartaiNasdem, #SuryaPaloh menegaskan, partainya menolak #PenundaanPemilu2024

Baca selengkapnya 👇
https://t.co/ShmgNu6ksz",negative
@Dimas_Wbw @olland72 @bachrum_achmadi Utamanya Kaitan IKN...menjadi Logis ketika bbrp pihak menghendaki Pak Jokowi tiga periode....,positive
"@_Qirani__Ayara @jokowi Kalau menurut konfirmasi hadir beliau .. Mungkin juga sekalian mo bagi"" kaos tiga periode ama para pembalap formula E .. Mungkin lo yah ??????",negative
"@Cupidlucky2 @Kimberley20101 Konyol banget tuh orang??, dia nuduh Jokowi berambisi tiga periode, tapi secara gak sadar dia juga melihatkan sedang berambisi ingin berkuasa. ?? Sumpah sakit perut nahan tawa..",neutral
"@Kimberley20101 Emang sdh ada UUnya unt perubahan dr 2 periode menjadi 3 periode perasaan blm deh,klo gak salah ada kaos bertulisan We Love Jokowi tiga periode kaos iku sopo sing nggawe yo kok ujug2 ada,ahhh...angel angel",negative
"Apa maksud & tujuan sesungguhnya ?

Wacana Jokowi presiden tiga periode muncul lagi, kendati Presiden Jokowi sendiri meminta agar para menteri ataupun pihak-pihak yang menyuarakan tiga periode berhenti.""
https://t.co/kSXEVxJuBH https://t.co/g8UZwuTvl7",neutral
"Ruhut Sitompul: Jokowi akan terus dicintai rakyat Indonesia bahkan banyak
rakyat meminta Jokowi diperpanjang 3 Periode Presiden RI MERDEKA.
https://t.co/ZULyTQi0mE
@Dhimaz_Ariya @bin_martakusuma @tawali9999 @dehadaud @SeijiNobel @YusufNusantara1 @istidharto @Mulyadisae3 @hongkiy1",positive
